,user,username,text,like_count,reply_count,retweet_count,created_at
0,Elon Musk,elonmusk,Je me souviens Pluto 🥹,23794,4036,1802,2023-01-21 09:07:40+00:00
1,Elon Musk,elonmusk,@OzraeliAvi Twitter is the source of truth,35278,2525,3756,2023-01-21 08:25:50+00:00
2,Elon Musk,elonmusk,@DexterWWinters @ScottAdamsSays Was required to visit Tesla Giga Berlin. Not my choice.,823,267,104,2023-01-21 07:59:05+00:00
3,Elon Musk,elonmusk,"@unusual_whales The note is incorrect. There are ~2300 active, working employees at Twitter.

There are still hundreds of employees working on trust &amp; safety, along with several thousand contractors. 

Less than 10 people from my other companies are working at Twitter.",5812,392,581,2023-01-21 07:57:28+00:00
4,Elon Musk,elonmusk,"@peters8620 @stillgray @ScottAdamsSays I had OG C19 before vaccines came out and it was basically a mild cold.

Then had J&amp;J vaccine with no bad effects, except my arm hurt briefly.

First mRNA booster was ok, but the second one crushed me.",1617,436,311,2023-01-21 07:53:26+00:00
5,Elon Musk,elonmusk,"@ScottAdamsSays And my cousin, who is young &amp; in peak health, had a serious case of myocarditis. Had to go to the hospital.",7478,802,1720,2023-01-21 07:39:12+00:00
6,Elon Musk,elonmusk,@unusual_whales @BillyM2k Yes,1259,170,64,2023-01-21 07:26:51+00:00
7,Elon Musk,elonmusk,"@ScottAdamsSays I had major side effects from my second booster shot. Felt like I was dying for several days. Hopefully, no permanent damage, but I dunno.",27869,4820,4940,2023-01-21 07:22:02+00:00
8,Elon Musk,elonmusk,@CommunityNotes Extremely important,1116,74,75,2023-01-21 07:19:35+00:00
9,Elon Musk,elonmusk,@BillyM2k 🤣🤣,1920,102,102,2023-01-21 07:18:37+00:00
10,Elon Musk,elonmusk,@BillyM2k @joshzepps Sigh … I hope Sam becomes his old super rational self again one day,1724,149,109,2023-01-21 07:18:02+00:00
11,Elon Musk,elonmusk,@slashdot Cool,2655,313,140,2023-01-21 07:02:40+00:00
12,Elon Musk,elonmusk,@LayahHeilpern Interesting &amp; entertaining content from around the world is worth seeing,3006,221,156,2023-01-21 07:00:34+00:00
13,Elon Musk,elonmusk,@WorldAndScience 🤣 yeah,650,77,36,2023-01-21 06:46:49+00:00
14,Elon Musk,elonmusk,@stats_feed Wow,9361,903,375,2023-01-21 06:42:57+00:00
15,Elon Musk,elonmusk,"@lexfridman Two of the worst possible curses:
- You will live forever
- You can have anything you want",24811,3441,2650,2023-01-21 05:47:36+00:00
16,Elon Musk,elonmusk,@WholeMarsBlog Cool,6370,485,251,2023-01-21 05:18:47+00:00
17,Elon Musk,elonmusk,"@TheRightMelissa Back then, George Washington was the “old guy” at age 44!",29024,1466,1656,2023-01-21 03:18:35+00:00
18,Elon Musk,elonmusk,"@EvaFoxU @BillyM2k Japan has higher total user-minutes than the USA, so Japan is actually #1",3477,263,614,2023-01-21 03:16:04+00:00
19,Elon Musk,elonmusk,@teslaownersSV I’m reviewing it next week for possible release,2134,166,165,2023-01-21 03:13:31+00:00
20,Elon Musk,elonmusk,@TimRunsHisMouth Good question,13253,948,938,2023-01-21 00:50:16+00:00
21,Elon Musk,elonmusk,(Tweets will be translated before being recommended),31065,1555,1776,2023-01-21 00:40:35+00:00
22,Elon Musk,elonmusk,@vastblastx Coming feature,2542,202,128,2023-01-21 00:37:50+00:00
23,Elon Musk,elonmusk,There are epic tweets in other countries every day (Japan especially),45112,1802,4607,2023-01-21 00:35:56+00:00
24,Elon Musk,elonmusk,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",48862,4082,4536,2023-01-21 00:31:38+00:00
25,Elon Musk,elonmusk,@cb_doge @APompliano The debt trend is 🤯🤯,2255,314,193,2023-01-21 00:27:49+00:00
26,Elon Musk,elonmusk,"@APompliano More than triple that when you add social security, Medicare &amp; govt pension obligations",24854,2599,2051,2023-01-21 00:26:21+00:00
27,Elon Musk,elonmusk,@AdamShawNY Wow,3675,239,218,2023-01-21 00:22:40+00:00
28,Elon Musk,elonmusk,@TaraBull808 Or spending too much time on social media,6554,376,346,2023-01-21 00:19:14+00:00
29,Elon Musk,elonmusk,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",180808,12934,16770,2023-01-21 00:18:21+00:00
30,Elon Musk,elonmusk,@ryan_pickering_ @welt !!,894,50,70,2023-01-21 00:14:10+00:00
31,Elon Musk,elonmusk,@rustyrockets @AndrewLawton 🤣,2023,109,109,2023-01-20 23:43:24+00:00
32,Elon Musk,elonmusk,"RT @TwitterSupport: For @TwitterBlue subscribers, when you save a new Bookmark, you can still save directly to a folder by holding down the…",0,0,761,2023-01-20 23:41:05+00:00
33,Elon Musk,elonmusk,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",20865,1503,1974,2023-01-20 23:23:17+00:00
34,Elon Musk,elonmusk,RT @Tesla: Track Mode lets you use your Tesla’s instant response &amp; motor torque to feel superhuman on the track—available on Model S Plaid…,0,0,1016,2023-01-20 23:17:32+00:00
35,Elon Musk,elonmusk,"RT @Tesla: Heat Pump allows us to move heat around to whatever system needs it most, giving Tesla vehicles unmatched efficiency in cold wea…",0,0,799,2023-01-20 23:17:18+00:00
36,Elon Musk,elonmusk,"@DavidSacks I am super pro Ukraine, but relentless escalation is very risky for Ukraine and the world",46059,8047,3344,2023-01-20 23:00:47+00:00
37,Elon Musk,elonmusk,@ezralevant Power to the people!,37883,1397,3496,2023-01-20 22:56:43+00:00
38,Elon Musk,elonmusk,@teslaownersSV 99% of people still have no idea how profound this is,16079,1327,796,2023-01-20 22:55:23+00:00
39,Elon Musk,elonmusk,"@WallStreetSilv Macron is doing the difficult, but right thing. The retirement age of 62 was set when lifespans were much shorter. It is impossible for a small number of workers to support a massive number of retirees.",64943,9694,3857,2023-01-20 22:50:23+00:00
40,Elon Musk,elonmusk,@proetrie 🤣,4213,226,130,2023-01-20 22:44:23+00:00
41,Elon Musk,elonmusk,@BillyM2k @unusual_whales It is actually not true. Employee headcount is almost double that.,5081,330,333,2023-01-20 22:43:30+00:00
42,Elon Musk,elonmusk,@BillyM2k @christinebarnum What are you playing?,4519,1597,226,2023-01-20 21:21:35+00:00
43,Elon Musk,elonmusk,@EvaFoxU Cool :),2248,193,91,2023-01-20 20:48:20+00:00
44,Elon Musk,elonmusk,"@TheRabbitHole84 Yes, that will be added in an upcoming release. Also, if your tweet is bookmarked, it will be treated as a “quiet like” and increment your likes counter.",5863,399,367,2023-01-20 20:35:14+00:00
45,Elon Musk,elonmusk,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantly, bookmarks are *private*, unlike likes. No one other than you can see your bookmarks.",101152,6655,8832,2023-01-20 20:30:40+00:00
46,Elon Musk,elonmusk,RT @BillyM2k: @elonmusk oh that’s actually pretty cool! https://t.co/5m3XiMnazJ,0,0,902,2023-01-20 20:23:27+00:00
47,Elon Musk,elonmusk,Twitter app update now available on App Store,107059,7029,8583,2023-01-20 20:20:17+00:00
48,Elon Musk,elonmusk,@EvaFoxU True,24358,982,842,2023-01-20 20:13:58+00:00
49,Elon Musk,elonmusk,@BillyM2k 🥳🥳,3249,224,150,2023-01-20 20:03:10+00:00
50,Elon Musk,elonmusk,"@TitterTakeover Onboarding should have fewer steps, not more, but creating pinned lists should automatically be offered if you swipe past Following. 

Also, we need to offer suggested lists by category, so you can use awesome subject matter lists created by others.",1873,183,141,2023-01-20 20:02:18+00:00
51,Elon Musk,elonmusk,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists.",39749,5391,5961,2023-01-20 19:55:41+00:00
52,Elon Musk,elonmusk,"@SawyerMerritt @Tesla Teslas are the safest cars on the road, but most people don’t know that",51351,6480,4141,2023-01-20 19:39:06+00:00
53,Elon Musk,elonmusk,@morganisawizard Bolitho also fought in the Battle of the Somme. He was buried alive in a pile of bodies with a broken neck.,5113,405,233,2023-01-20 19:08:13+00:00
54,Elon Musk,elonmusk,"RT @CommunityNotes: We are now admitting contributors from the UK 🇬🇧, Ireland 🇮🇪, Australia 🇦🇺 and New Zealand 🇳🇿 — welcome to Community No…",0,0,753,2023-01-20 19:01:24+00:00
55,Elon Musk,elonmusk,@WallStreetSilv Concerning,16131,1555,881,2023-01-20 18:33:35+00:00
56,Elon Musk,elonmusk,@catturd2 @amuse @Twitter This is bizarre. Looking into it.,16939,1344,1202,2023-01-20 18:24:29+00:00
57,Elon Musk,elonmusk,@paulg Exactly,7879,572,387,2023-01-20 16:28:54+00:00
58,Elon Musk,elonmusk,"@engineers_feed Ok, maybe a little pontificating",24358,1516,850,2023-01-20 16:06:16+00:00
59,Elon Musk,elonmusk,@disclosetv …,31879,1360,1632,2023-01-20 15:48:11+00:00
60,Elon Musk,elonmusk,@cb_doge App update has been approved by Apple. Should go out in next day or so.,2012,201,152,2023-01-20 15:45:00+00:00
61,Elon Musk,elonmusk,@mualphaxi The pendulum has swung a bit too far,117536,5046,6706,2023-01-20 05:31:02+00:00
62,Elon Musk,elonmusk,"@WallStreetSilv Even if you tax every billionaire in America at 100%, it barely makes a dent in the national debt. In the end, the government will be forced to tax everyone to pay the debt.

Btw, $31T doesn’t include unfunded liabilities, which are *much* higher.",76628,6450,11664,2023-01-20 05:25:17+00:00
63,Elon Musk,elonmusk,"@cb_doge @ElijahSchaffer If bots are removed from the system, their likes will be removed too. Are you seeing likes from clearly human accounts disappear?",3233,509,341,2023-01-20 05:10:01+00:00
64,Elon Musk,elonmusk,@ElijahSchaffer Are you still finding engagement to be low?,3723,949,248,2023-01-20 05:07:43+00:00
65,Elon Musk,elonmusk,@teslaownersSV The kind words are appreciated,45941,1845,1686,2023-01-20 04:54:20+00:00
66,Elon Musk,elonmusk,@micsolana @teslaownersSV @SjvTesla One of the bot defenses we implemented was flagging any account responding to tweets faster than humanly possible,3816,470,311,2023-01-20 03:59:54+00:00
67,Elon Musk,elonmusk,@stillgray Good question to ask him,20522,504,1224,2023-01-19 23:31:54+00:00
68,Elon Musk,elonmusk,"@teslaownersSV @SjvTesla It is very difficult to stop bots &amp; trolls, while not affecting real users. Won’t be perfect either way, but Twitter is far more resilient to fake accounts than it ever has been.",51823,3222,3605,2023-01-19 21:15:05+00:00
69,Elon Musk,elonmusk,"Twitter is arguably already the least wrong source of truth on the Internet, but we obviously still have a long way to go.

Enabling @CommunityNotes to operate at very large scale and providing maximum transparency about how Twitter works are fundamental to building trust.",160333,13900,16852,2023-01-19 21:01:35+00:00
70,Elon Musk,elonmusk,"Coming soon are notifications if you’ve replied, liked or retweeted something subsequently corrected by community https://t.co/uBSjJxV7Ww",42049,3763,4717,2023-01-19 20:39:50+00:00
71,Elon Musk,elonmusk,@ShellenbergerMD @mgurri The peer-enforced sameness of thought in most of the media is troubling,47978,2477,5540,2023-01-19 19:00:48+00:00
72,Elon Musk,elonmusk,"@Js_Makali @financialjuice No, I am wrong too often",4205,582,240,2023-01-19 18:18:56+00:00
73,Elon Musk,elonmusk,"@SenSchumer Trimming some government expenditures would be wise
https://t.co/1EwWyqetir",9383,919,1091,2023-01-19 18:17:06+00:00
74,Elon Musk,elonmusk,@financialjuice Peak oil demand probably happens within the next 5 years,3744,452,365,2023-01-19 18:14:24+00:00
75,Elon Musk,elonmusk,"@financialjuice True, there will be a long tail of usage, but it will peak long before then",17427,1086,826,2023-01-19 18:11:24+00:00
76,Elon Musk,elonmusk,@Lukewearechange Ahem …,60660,4396,2590,2023-01-19 18:08:02+00:00
77,Elon Musk,elonmusk,@AlecStapp Seriously! It is super important to keep ace players in the United States. Forcing them to work for other countries is so crazy.,21035,1141,1270,2023-01-19 18:07:27+00:00
78,Elon Musk,elonmusk,"@teslaownersSV @Tesla @Ford @Rivian @LucidMotors Fed rate increases make cars more expensive for consumers, increasing the difficulty level for automotive companies",20372,1407,1550,2023-01-19 18:03:56+00:00
79,Elon Musk,elonmusk,@waitbutwhy 😳,2080,193,82,2023-01-19 17:59:26+00:00
80,Elon Musk,elonmusk,"RT @Tesla: Tesla operates the world’s largest global fast-charging network—40k+ Superchargers in 46 countries, located near amenities &amp; opt…",0,0,2416,2023-01-19 17:56:08+00:00
81,Elon Musk,elonmusk,RT @SpaceX: Falcon 9’s first stage has landed on the Of Course I Still Love You droneship https://t.co/2EFQLkXX0k,0,0,2282,2023-01-19 17:55:49+00:00
82,Elon Musk,elonmusk,RT @SpaceX: Liftoff! https://t.co/71UKeM8LRY,0,0,2745,2023-01-19 17:55:46+00:00
83,Elon Musk,elonmusk,@ggreenwald True,13792,616,747,2023-01-19 17:28:25+00:00
84,Elon Musk,elonmusk,@OzraeliAvi Your critique is spot on,17358,486,1572,2023-01-19 11:30:03+00:00
85,Elon Musk,elonmusk,@esherifftv A lot tbh,44572,4315,1482,2023-01-19 11:08:38+00:00
86,Elon Musk,elonmusk,@TheBabylonBee 🤣💯,37219,736,1353,2023-01-19 11:01:39+00:00
